KPGZ,with_KPGZ,count
01.20.04.01.04,01.20.04.02.12,563
01.20.04.01.04,01.20.04.09.01,121
01.20.04.01.04,01.20.04.01.13,810
01.20.04.01.04,01.20.04.09.04,230
01.20.04.01.04,01.20.05.03.04.02,238
01.20.04.01.04,01.20.04.06.01.02,545
01.20.04.02.12,01.20.04.09.01,155
01.20.04.02.12,01.20.04.02.12,563
01.20.04.02.12,01.20.04.01.13,741
01.20.04.02.12,01.20.04.09.04,200
01.20.04.02.12,01.20.05.03.04.02,342
01.20.04.09.01,01.20.04.02.12,176
01.20.04.09.01,01.20.04.01.13,272
01.20.04.09.01,01.20.04.09.04,108
01.02.10.43.01.19,01.02.10.43.01.19,489
01.20.07.11.03.01.01,01.20.07.11.01,49
01.20.07.11.03.01.01,01.20.05.03.04.01,31
01.20.07.11.03.01.01,01.20.07.11.03.01.02,130
01.20.07.11.03.01.01,01.20.03.04.05.02,87
01.20.07.11.03.01.01,01.20.03.04.01.02,57
01.20.07.11.03.01.01,01.20.05.03.04.04,40
01.20.07.11.03.01.01,01.20.03.04.01.01,30
01.20.07.11.03.01.01,01.20.04.01.04,12
01.20.07.11.03.01.01,01.20.04.04.02,9
01.20.07.11.03.01.01,01.20.04.06.02.01,7
01.20.07.11.03.01.01,01.20.06.04.01,200
01.20.07.11.01,01.20.05.03.04.01,26
01.20.07.11.01,01.20.07.11.03.01.02,125
01.20.07.11.01,01.20.03.04.05.02,71
01.20.07.11.01,01.20.03.04.01.02,47
01.20.07.11.01,01.20.05.03.04.04,33
01.20.07.11.01,01.20.03.04.01.01,25
01.20.07.11.01,01.20.04.01.04,16
01.20.07.11.01,01.20.04.04.02,6
01.20.07.11.01,01.20.04.06.02.01,4
01.20.05.03.04.01,01.20.05.03.04.01,688
01.20.05.03.04.01,01.20.07.11.03.01.02,1226
01.20.05.03.04.01,01.20.03.04.05.02,1209
01.20.05.03.04.01,01.20.03.04.01.02,784
01.20.05.03.04.01,01.20.05.03.04.04,650
01.20.05.03.04.01,01.20.03.04.01.01,151
01.20.05.03.04.01,01.20.04.01.04,385
01.20.05.03.04.01,01.20.04.04.02,82
01.20.05.03.04.01,01.20.04.06.02.01,196
01.20.07.11.03.01.02,01.20.03.04.05.02,2675
01.20.07.11.03.01.02,01.20.03.04.01.02,1853
01.20.07.11.03.01.02,01.20.05.03.04.01,1135
01.20.07.11.03.01.02,01.20.05.03.04.04,613
01.20.07.11.03.01.02,01.20.03.04.01.01,500
01.20.07.11.03.01.02,01.20.04.01.04,765
01.20.07.11.03.01.02,01.20.04.04.02,151
01.20.03.04.05.02,01.20.03.04.01.02,1970
01.20.03.04.05.02,01.20.05.03.04.01,778
01.20.03.04.05.02,01.20.05.03.04.04,500
01.20.03.04.05.02,01.20.03.04.01.01,556
01.20.03.04.05.02,01.20.03.04.05.02,2911
01.20.03.04.05.02,01.20.04.01.04,625
01.20.03.04.05.02,01.20.04.04.02,143
01.20.03.04.01.02,01.20.05.03.04.01,445
01.20.03.04.01.02,01.20.05.03.04.04,297
01.20.03.04.01.02,01.20.03.04.01.01,561
01.20.03.04.01.02,01.20.03.04.05.02,2198
01.20.03.04.01.02,01.20.04.01.04,366
01.20.03.04.01.02,01.20.04.04.02,68
01.20.05.03.04.04,01.20.03.04.01.01,101
01.20.05.03.04.04,01.20.03.04.05.02,701
01.20.07.11.03.01.01,01.20.05.03.04.02,24
01.20.07.11.03.01.01,01.20.03.04.05.01,26
01.20.07.11.03.01.01,01.20.04.06.01.02,28
01.20.07.11.03.01.01,01.20.04.02.10,6
01.20.07.11.03.01.01,01.20.04.02.14,13
01.20.07.11.03.01.01,01.20.04.01.13,19
01.20.07.11.03.01.01,01.20.04.02.13,11
01.20.07.11.03.01.01,01.20.04.03,15
01.20.07.11.03.01.01,01.20.04.09.01,9
01.20.07.11.03.01.01,01.02.10.55.06,1
01.20.07.11.03.01.01,01.20.05.01.05.01.01,7
01.20.07.11.03.01.01,01.20.04.01.05,12
01.20.07.11.03.01.01,01.20.03.01,1
01.20.05.03.04.02,01.20.07.11.03.01.02,961
01.20.05.03.04.02,01.20.03.04.01.02,702
01.20.05.03.04.02,01.20.05.03.04.01,731
01.20.05.03.04.02,01.20.03.04.05.02,1042
01.20.05.03.04.02,01.20.03.04.05.01,369
01.20.05.03.04.02,01.20.04.06.01.02,553
01.20.05.03.04.02,01.20.04.02.10,202
01.20.05.03.04.02,01.20.04.02.14,78
01.20.05.03.04.02,01.20.04.01.13,487
01.20.05.03.04.02,01.20.04.02.13,254
01.20.05.03.04.02,01.20.04.03,153
01.20.05.03.04.02,01.20.04.01.04,252
01.20.05.03.04.02,01.20.04.09.01,98
01.20.05.03.04.02,01.02.10.55.06,4
01.20.05.03.04.02,01.20.05.01.05.01.01,20
01.20.05.03.04.02,01.20.04.01.05,221
01.20.07.11.03.01.02,01.20.07.11.03.01.02,2955
01.20.07.11.03.01.02,01.20.03.04.05.01,1038
01.20.07.11.03.01.02,01.20.04.06.01.02,1252
01.20.07.11.03.01.02,01.20.04.02.10,565
01.20.07.11.03.01.02,01.20.04.02.14,187
01.20.07.11.03.01.02,01.20.04.01.13,1368
01.20.07.11.03.01.02,01.20.04.02.13,724
01.20.07.11.03.01.02,01.20.04.03,453
01.20.07.11.03.01.02,01.20.04.09.01,222
01.20.07.11.03.01.02,01.02.10.55.06,18
01.20.07.11.03.01.02,01.20.05.01.05.01.01,28
01.20.03.04.01.02,01.20.03.04.05.01,688
01.20.03.04.01.02,01.20.04.06.01.02,568
01.20.03.04.01.02,01.20.04.02.10,271
01.20.03.04.01.02,01.20.04.02.14,74
01.20.03.04.01.02,01.20.04.01.13,644
01.20.03.04.01.02,01.20.04.02.13,333
01.20.03.04.01.02,01.20.04.03,212
01.20.03.04.01.02,01.20.04.09.01,120
01.20.05.03.04.01,01.20.03.04.05.01,481
01.20.05.03.04.01,01.20.04.06.01.02,764
01.20.05.03.04.01,01.20.04.02.10,266
01.20.05.03.04.01,01.20.04.02.14,102
01.20.05.03.04.01,01.20.04.01.13,684
01.20.05.03.04.01,01.20.04.02.13,363
01.20.05.03.04.01,01.20.04.03,226
01.20.03.04.05.02,01.20.03.04.05.01,944
01.20.03.04.05.02,01.20.04.06.01.02,1044
01.20.03.04.05.02,01.20.04.02.10,518
01.20.03.04.05.02,01.20.04.02.14,179
01.20.03.04.05.02,01.20.04.01.13,1157
01.20.03.04.05.01,01.20.04.06.01.02,261
01.20.03.04.05.01,01.20.04.02.10,126
01.02.10.06.20,01.02.10.06.20,168
01.02.10.43.09,01.02.10.43.09,993
01.02.10.43.09,01.02.10.06.19.05,5
01.20.05.01.07.04,01.20.04.06.01.01,5
01.20.06.04.01,01.20.05.04,50
01.20.06.04.01,01.20.06.04.01,2131
01.20.05.03.04.04,01.20.05.03.04.06,72
01.19.01.03.01,01.19.01.10,17
01.19.10.17.02,01.19.10.17.02,87
01.19.10.17.02,01.20.03.04.04.02.01,8
01.15.04.01.01,01.15.05.15,2251
01.15.04.01.01,01.15.01.07,4788
01.15.04.01.01,01.15.04.03.01,1936
01.15.04.01.01,01.15.04.02.04,6101
01.15.04.01.01,01.15.03.17.06,2744
01.15.04.01.01,01.15.04.01.01,9880
01.15.04.01.01,01.15.05.18,1291
01.15.04.01.01,01.15.05.10,1178
01.15.04.01.01,01.15.05.04.04,2680
01.15.04.01.01,01.15.05.04.03.04,724
01.15.04.01.01,01.15.05.02.01,2724
01.15.04.01.01,01.15.05.04.09.01,284
01.15.04.01.01,01.15.03.16,5097
01.15.05.15,01.15.01.07,942
01.15.05.15,01.15.04.03.01,344
01.15.05.15,01.15.04.02.04,1161
01.15.05.15,01.15.03.17.06,624
01.15.05.15,01.15.04.01.01,1549
01.15.05.15,01.15.05.18,317
01.15.05.15,01.15.05.10,300
01.15.05.15,01.15.05.04.04,600
01.15.05.15,01.15.05.04.03.04,130
01.15.05.15,01.15.05.02.01,572
01.15.05.15,01.15.05.04.09.01,61
01.15.01.07,01.15.04.03.01,989
01.15.01.07,01.15.04.02.04,3370
01.15.01.07,01.15.03.17.06,1946
01.15.01.07,01.15.04.01.01,4904
01.15.01.07,01.15.05.18,765
01.15.01.07,01.15.05.10,709
01.15.01.07,01.15.05.04.04,1225
01.15.01.07,01.15.05.04.03.04,369
01.15.01.07,01.15.05.02.01,1450
01.15.04.03.01,01.15.04.02.04,2382
01.15.04.03.01,01.15.03.17.06,863
01.15.04.03.01,01.15.04.01.01,3310
01.15.04.03.01,01.15.05.18,647
01.15.04.03.01,01.15.05.10,441
01.15.04.03.01,01.15.05.04.04,1120
01.15.04.03.01,01.15.05.04.03.04,195
01.15.04.02.04,01.15.03.17.06,1639
01.15.04.02.04,01.15.04.01.01,6282
01.15.04.02.04,01.15.05.18,902
01.15.04.02.04,01.15.05.10,774
01.15.04.02.04,01.15.05.04.04,1794
01.15.03.17.06,01.15.04.01.01,2367
01.15.03.17.06,01.15.05.18,371
01.15.03.17.06,01.15.05.10,319
